Application 0001, Defuzzified Risk Level: 56.7263969171484
Application 0002, Defuzzified Risk Level: 56.7263969171484
Application 0003, Defuzzified Risk Level: 56.7263969171484
Application 0004, Defuzzified Risk Level: 56.7263969171484
Application 0005, Defuzzified Risk Level: 56.7263969171484
Application 0006, Defuzzified Risk Level: 56.7263969171484
Application 0007, Defuzzified Risk Level: 56.7263969171484
Application 0008, Defuzzified Risk Level: 56.7263969171484
Application 0009, Defuzzified Risk Level: 56.7263969171484
Application 0010, Defuzzified Risk Level: 56.7263969171484
Application 0011, Defuzzified Risk Level: 56.7263969171484
Application 0012, Defuzzified Risk Level: 56.7263969171484
Application 0013, Defuzzified Risk Level: 56.7263969171484
Application 0014, Defuzzified Risk Level: 56.7263969171484
Application 0015, Defuzzified Risk Level: 56.7263969171484
Application 0016, Defuzzified Risk Level: 56.7263969171484
Application 0017, Defuzzified Risk Level: 56.7263969171484
Application 0018, Defuzzified Risk Level: 56.7263969171484
Application 0019, Defuzzified Risk Level: 56.7263969171484
Application 0020, Defuzzified Risk Level: 56.7263969171484
Application 0021, Defuzzified Risk Level: 56.7263969171484
Application 0022, Defuzzified Risk Level: 56.7263969171484
Application 0023, Defuzzified Risk Level: 56.7263969171484
Application 0024, Defuzzified Risk Level: 56.7263969171484
Application 0025, Defuzzified Risk Level: 56.7263969171484
Application 0026, Defuzzified Risk Level: 56.7263969171484
Application 0027, Defuzzified Risk Level: 56.7263969171484
Application 0028, Defuzzified Risk Level: 56.7263969171484
Application 0029, Defuzzified Risk Level: 56.7263969171484
Application 0030, Defuzzified Risk Level: 56.7263969171484
Application 0031, Defuzzified Risk Level: 56.7263969171484
Application 0032, Defuzzified Risk Level: 56.7263969171484
Application 0033, Defuzzified Risk Level: 56.7263969171484
Application 0034, Defuzzified Risk Level: 56.7263969171484
Application 0035, Defuzzified Risk Level: 56.7263969171484
Application 0036, Defuzzified Risk Level: 56.7263969171484
Application 0037, Defuzzified Risk Level: 56.7263969171484
Application 0038, Defuzzified Risk Level: 56.7263969171484
Application 0039, Defuzzified Risk Level: 56.7263969171484
Application 0040, Defuzzified Risk Level: 56.7263969171484
Application 0041, Defuzzified Risk Level: 56.7263969171484
Application 0042, Defuzzified Risk Level: 56.7263969171484
Application 0043, Defuzzified Risk Level: 56.7263969171484
Application 0044, Defuzzified Risk Level: 56.7263969171484
Application 0045, Defuzzified Risk Level: 56.7263969171484
Application 0046, Defuzzified Risk Level: 56.7263969171484
Application 0047, Defuzzified Risk Level: 56.7263969171484
Application 0048, Defuzzified Risk Level: 56.7263969171484
Application 0049, Defuzzified Risk Level: 56.7263969171484
Application 0050, Defuzzified Risk Level: 56.7263969171484
