Application ID: 0001, Defuzzified Risk Level: 52.121212121212075
Application ID: 0002, Defuzzified Risk Level: 52.121212121212075
Application ID: 0003, Defuzzified Risk Level: 52.121212121212075
Application ID: 0004, Defuzzified Risk Level: 52.121212121212075
Application ID: 0005, Defuzzified Risk Level: 52.121212121212075
Application ID: 0006, Defuzzified Risk Level: 52.121212121212075
Application ID: 0007, Defuzzified Risk Level: 52.121212121212075
Application ID: 0008, Defuzzified Risk Level: 52.121212121212075
Application ID: 0009, Defuzzified Risk Level: 52.121212121212075
Application ID: 0010, Defuzzified Risk Level: 52.121212121212075
Application ID: 0011, Defuzzified Risk Level: 52.121212121212075
Application ID: 0012, Defuzzified Risk Level: 52.121212121212075
Application ID: 0013, Defuzzified Risk Level: 52.121212121212075
Application ID: 0014, Defuzzified Risk Level: 52.121212121212075
Application ID: 0015, Defuzzified Risk Level: 52.121212121212075
Application ID: 0016, Defuzzified Risk Level: 52.121212121212075
Application ID: 0017, Defuzzified Risk Level: 52.121212121212075
Application ID: 0018, Defuzzified Risk Level: 52.121212121212075
Application ID: 0019, Defuzzified Risk Level: 52.121212121212075
Application ID: 0020, Defuzzified Risk Level: 52.121212121212075
Application ID: 0021, Defuzzified Risk Level: 52.121212121212075
Application ID: 0022, Defuzzified Risk Level: 52.121212121212075
Application ID: 0023, Defuzzified Risk Level: 52.121212121212075
Application ID: 0024, Defuzzified Risk Level: 52.121212121212075
Application ID: 0025, Defuzzified Risk Level: 52.121212121212075
Application ID: 0026, Defuzzified Risk Level: 52.121212121212075
Application ID: 0027, Defuzzified Risk Level: 52.121212121212075
Application ID: 0028, Defuzzified Risk Level: 52.121212121212075
Application ID: 0029, Defuzzified Risk Level: 52.121212121212075
Application ID: 0030, Defuzzified Risk Level: 52.121212121212075
Application ID: 0031, Defuzzified Risk Level: 52.121212121212075
Application ID: 0032, Defuzzified Risk Level: 52.121212121212075
Application ID: 0033, Defuzzified Risk Level: 52.121212121212075
Application ID: 0034, Defuzzified Risk Level: 52.121212121212075
Application ID: 0035, Defuzzified Risk Level: 52.121212121212075
Application ID: 0036, Defuzzified Risk Level: 52.121212121212075
Application ID: 0037, Defuzzified Risk Level: 52.121212121212075
Application ID: 0038, Defuzzified Risk Level: 52.121212121212075
Application ID: 0039, Defuzzified Risk Level: 52.121212121212075
Application ID: 0040, Defuzzified Risk Level: 52.121212121212075
Application ID: 0041, Defuzzified Risk Level: 52.121212121212075
Application ID: 0042, Defuzzified Risk Level: 52.121212121212075
Application ID: 0043, Defuzzified Risk Level: 52.121212121212075
Application ID: 0044, Defuzzified Risk Level: 52.121212121212075
Application ID: 0045, Defuzzified Risk Level: 52.121212121212075
Application ID: 0046, Defuzzified Risk Level: 52.121212121212075
Application ID: 0047, Defuzzified Risk Level: 52.121212121212075
Application ID: 0048, Defuzzified Risk Level: 52.121212121212075
Application ID: 0049, Defuzzified Risk Level: 52.121212121212075
Application ID: 0050, Defuzzified Risk Level: 52.121212121212075
